scaffold,mean_shap,effect,n_total,n_active,n_inactive,active_ratio
c1ccc(Nc2nc(-c3ccc4c(c3)OCO4)nc3ccccc23)cc1,0.002044425,positive,1,1,0,1
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1nc2ccccc2[nH]1,0.002039719,positive,1,1,0,1
O=C(CCC=NOC1C=CCOC1)OCC1OC(C#Cc2ccccc2)C=CC1Oc1ccccc1,0.002039218,positive,1,1,0,1
O=C(CC=CC(NC(=O)OCc1ccccc1)c1ccccc1)NCCc1c[nH]c2ccccc12,0.00203717,positive,3,3,0,1
c1ccc(CNc2ncnc3ccc(-c4ccccc4)cc23)cc1,0.00203468,positive,22,21,1,0.954545455
O=C(NC1CCCCC1)C(c1ccc2ncccc2c1)N(Cc1ccccc1)C(=O)c1cccs1,0.002031922,positive,1,1,0,1
c1ccc(CNc2nc(-c3cnoc3)nc3ccccc23)cc1,0.002029959,positive,3,3,0,1
c1cncc(CNc2nc(-c3cccnc3)nc3ccccc23)c1,0.002026031,positive,1,1,0,1
O=C(CC=CC(NC(=O)OCc1ccccc1)c1ccccc1)NCc1cnn(-c2ccccc2)n1,0.002022341,positive,1,1,0,1
c1cn(-c2ncnc3ccc(-c4ccoc4)cc23)cn1,0.002021706,positive,1,1,0,1
c1coc(CNc2ncncc2-c2cnoc2)c1,0.002021582,positive,1,1,0,1
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCCc1ccccc1,0.002019972,positive,1,1,0,1
O=C(CCC=NOCCC1C=CCCO1)OCC1OC(C#Cc2ccccc2)C=CC1Oc1ccccc1,0.00201723,positive,1,1,0,1
O=c1[nH]c2ccccc2cc1CN(Cc1ccccc1)Cc1nnnn1CC1CCCO1,0.00201615,positive,1,1,0,1
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCCc1ccccc1,0.002010406,positive,2,2,0,1
O=S(=O)(c1ccccc1)N1CCC2(CCCN(Cc3ccncc3)C2)CC1,0.002009078,positive,1,1,0,1
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1cc[nH]n1,0.002007227,positive,2,2,0,1
O=C(CC1CC1C(NC(=O)c1cnccn1)c1ccccc1)Nc1ccc2ccccc2c1,0.00200083,positive,2,2,0,1
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccc(-c2ccccc2)cc1,0.001998204,positive,1,1,0,1
c1ccc2c(CCNc3ncnc4ccc(-c5ccoc5)cc34)c[nH]c2c1,0.001993849,positive,1,1,0,1
c1ccc(-c2nccc(NCCc3c[nH]c4ccccc34)n2)cc1,0.001992642,positive,7,7,0,1
O=C(CSc1nnc(Cc2ccc[nH]2)n1CCc1ccccc1)Nc1ccccc1,0.001987373,positive,1,1,0,1
c1ccc(-c2cncnc2NCc2cccnc2)cc1,0.001982115,positive,9,9,0,1
O=C(CCN1C(=O)COc2ccccc21)NCCc1ccccc1,0.00198017,positive,2,2,0,1
c1cnc(CNc2ncnc3ccc(-c4ccc5c(c4)OCO5)cc23)cn1,0.001979826,positive,1,1,0,1
O=C(Cc1cn(-c2ccccc2)c(=S)n1CCc1ccncc1)Nc1ccccc1,0.00197489,positive,1,1,0,1
c1ccc(-n2cnnc2-c2ccncc2)cc1,0.001972196,positive,1,1,0,1
