scaffold,mean_shap,effect
O=C(CCC=NOCCC1C=CCCO1)OCC1OC(C#Cc2ccccc2)C=CC1Oc1ccccc1,0.0020172296,positive
O=c1[nH]c2ccccc2cc1CN(Cc1ccccc1)Cc1nnnn1CC1CCCO1,0.0020161502,positive
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCCc1ccccc1,0.0020104062,positive
O=S(=O)(c1ccccc1)N1CCC2(CCCN(Cc3ccncc3)C2)CC1,0.0020090784,positive
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1cc[nH]n1,0.0020072272,positive
O=C(CC1CC1C(NC(=O)c1cnccn1)c1ccccc1)Nc1ccc2ccccc2c1,0.0020008297,positive
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccc(-c2ccccc2)cc1,0.0019982038,positive
c1ccc2c(CCNc3ncnc4ccc(-c5ccoc5)cc34)c[nH]c2c1,0.0019938487,positive
c1ccc(-c2nccc(NCCc3c[nH]c4ccccc34)n2)cc1,0.0019926417,positive
O=C(CSc1nnc(Cc2ccc[nH]2)n1CCc1ccccc1)Nc1ccccc1,0.0019873725,positive
c1ccc(-c2cncnc2NCc2cccnc2)cc1,0.0019821147,positive
O=C(CCN1C(=O)COc2ccccc21)NCCc1ccccc1,0.0019801697,positive
c1cnc(CNc2ncnc3ccc(-c4ccc5c(c4)OCO5)cc23)cn1,0.0019798256,positive
O=C(Cc1cn(-c2ccccc2)c(=S)n1CCc1ccncc1)Nc1ccccc1,0.0019748902,positive
c1ccc(-n2cnnc2-c2ccncc2)cc1,0.0019721964,positive
O=C(CCCCCN1C=C(C(=O)OCc2ccccc2)C(c2ccccc2)NC1=O)NCc1ccccc1,0.0019720562,positive
c1ccc(-c2cncnc2NCc2ccco2)cc1,0.0019686157,positive
c1csc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)c1,0.0019588936,positive
c1ccc2c(-n3ccnc3)nc(-c3ccoc3)nc2c1,0.0019587988,positive
c1cnc(CNc2ncncc2-c2ccc3c(c2)OCO3)cn1,0.0019484415,positive
c1cncc(-c2ccc3ncnc(NCCN4CCOCC4)c3c2)c1,0.0019470777,positive
c1ccc(-c2cncnc2NCc2cnccn2)cc1,0.0019401411,positive
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)Nc1ccc2ccccc2c1,0.0019373253,positive
c1csc(CNc2ncncc2-c2ccoc2)c1,0.0019363476,positive
c1coc(CNc2ncnc3ccc(-c4ccc5c(c4)OCO5)cc23)c1,0.0019360759,positive
O=C(CC=CC(NC(=O)OCc1ccccc1)c1ccccc1)NCc1nc2ccccc2s1,0.0019351282,positive
O=C(NCc1ccc2c(c1)OCO2)C1CCC(CNS(=O)(=O)c2ccccc2)CC1,0.0019314056,positive
O=C(CCCC(=O)N(c1ccc2c(c1)OCCO2)C(C(=O)NC1CCCCC1)c1ccccc1)Nc1ccccn1,0.0019311552,positive
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccco1,0.001930232,positive
O=C(NCc1ccccc1)C1C=CC2(CCCCC2)N1C(=O)c1ccccc1,0.0019294125,positive
C1=CC(Oc2ccccc2)COC1CCON=C1CC(c2ccccc2)Oc2ccccc21,0.0019289965,positive
c1ccc2c(CCNc3ccnc(-c4ccoc4)n3)c[nH]c2c1,0.0019273773,positive
O=C(CCC=NOCCN1CCCCc2ncccc21)OCC1OC(C#Cc2ccccc2)C=CC1Oc1ccccc1,0.0019265581,positive
c1ccc(-c2ccc3ncnc(NCc4cccs4)c3c2)cc1,0.0019264221,positive
O=C(CN1c2cccc3cccc(c23)S1(=O)=O)NCc1ccc2c(c1)OCO2,0.0019173905,positive
O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1ccc2[nH]c3ccccc3c2c1,0.0019172909,positive
C=C1C(C2C=CC(=O)CC2)CCC2C(c3ccoc3)OC(=O)C3OC132,0.0019165988,positive
O=C(c1ccncc1)N1CCCC2(CCN(c3ccccc3)C2)C1,0.0019164132,positive
O=C(c1ccccc1)N1CCCC2(CCN(c3cccc(-c4ccccc4)c3)C2)C1,0.0019161042,positive
O=C(CC=CC(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccco1,0.0019160637,positive
c1cncc(CNc2ncncc2-c2ccc3c(c2)OCO3)c1,0.0019160637,positive
O=C(CN1CCCN(S(=O)(=O)c2ccccc2)CC1)Nc1ccc2c(c1)OCO2,0.0019149465,positive
c1csc(CNc2nc(-c3ccoc3)nc3ccccc23)c1,0.0019128643,positive
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccon1,0.001912138,positive
c1ccc(-c2nc(NCc3cccs3)c3ccccc3n2)cc1,0.0019101822,positive
O=C(c1csnn1)N1CCCC2(CCN(Cc3ccncc3)C2)C1,0.0019098782,positive
c1nc(NCCN2CCOCC2)c2cc(-c3ccc4c(c3)OCO4)ccc2n1,0.0019090357,positive
O=c1[nH]c2cc3c(cc2cc1CN(Cc1nnn[nH]1)Cc1ccco1)OCO3,0.0019052483,positive
c1ccc(-c2cncnc2NCCN2CCOCC2)cc1,0.0019016879,positive
O=C1C(Oc2ccccc2)C(c2cccs2)N1Cc1ccc2c(c1)OCO2,0.0018974959,positive
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCC1CC1,0.0018943519,positive
O=C(NCc1ccccc1)C1CC1C(NP(=O)(c1ccccc1)c1ccccc1)c1ccccc1,0.0018929566,positive
N=C1OC(=O)N2C=CC3=CCc4cn(-c5ccccc5)cc4C3C12Cc1ccccc1,0.0018929018,positive
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCC1CC1,0.0018908393,positive
c1ccc(CNc2ccnc(-c3cccnc3)n2)cc1,0.0018901199,positive
c1coc(CNc2nc(-c3ccc4c(c3)OCO4)nc3ccccc23)c1,0.0018883578,positive
c1ccc2c(CCNc3ccnc(-c4cnoc4)n3)c[nH]c2c1,0.0018868602,positive
O=C(COC(=O)c1cccnc1Nc1ccccc1)NCc1ccc2c(c1)OCO2,0.0018847602,positive
c1cncc(-c2nc(NCc3cnccn3)c3ccccc3n2)c1,0.0018832465,positive
O=C(CC=CC(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccccc1,0.0018828139,positive
O=C1OC(=NCC2CC2)C2(Cc3ccccc3)C3C(=CCc4cn(-c5ccccc5)cc43)C=CN12,0.0018824267,positive
O=C(CCC=NOCCC1CC2OCOC2O1)OCC1OC(C#Cc2ccccc2)C=CC1Oc1ccccc1,0.0018822015,positive
c1ccc2c(Nc3ccncc3)nc(-c3cnoc3)nc2c1,0.0018780564,positive
c1ccc(CNc2ncnc3ccc(-c4ccoc4)cc23)cc1,0.0018763269,positive
O=C(c1ccncc1)N1CCC2(CCCN(c3cccc(-c4ccccc4)c3)C2)CC1,0.0018746229,positive
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1cccnc1,0.0018745903,positive
O=C(c1ccncc1)N1CCCC2(CCN(Cc3ccncc3)C2)C1,0.0018744015,positive
O=C(C=Cc1ccc2c(c1)OCO2)NCc1ccccc1,0.0018673458,positive
O=C(CCCCCN1C=C(C(=O)OCc2ccccc2)C(C2CCCCC2)NC1=O)NCc1ccccc1,0.0018665761,positive
O=C(NCCc1c[nH]c2ccccc12)C1C=CC(Cc2ccccc2)N1C(=O)c1ccccc1,0.0018627535,positive
c1ccc(CNc2nc(-c3ccoc3)nc3ccccc23)cc1,0.0018581687,positive
O=C(CC=CC(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccc(-c2ccccc2)cc1,0.0018577522,positive
c1cn(-c2ccnc(-c3cnoc3)n2)cn1,0.0018573168,positive
c1csc(CNc2ncncc2-c2ccc3c(c2)OCO3)c1,0.0018526398,positive
O=C1C=C2CCc3c[nH]cc3C2C2C(=NCCc3c[nH]c4ccccc34)OC(=O)N12,0.0018525086,positive
c1csc(CNc2nc(-c3cnoc3)nc3ccccc23)c1,0.0018509428,positive
c1coc(COCCCON=C2CCCC3c4cn(Cc5ccc6c(c5)OCO6)cc4CCC23)c1,0.0018455037,positive
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)Nc1ccccc1,0.0018450934,positive
c1ccc(CNc2nc(-c3ccccc3)nc3ccccc23)cc1,0.0018402175,positive
c1cnc(CNc2ncncc2-c2ccoc2)cn1,0.0018359781,positive
O=C(NCCc1c[nH]c2ccccc12)C1CC1C(NP(=O)(c1ccccc1)c1ccccc1)c1ccccc1,0.0018312522,positive
O=C1OC(=NCc2ccccc2)C2C3C(=CCc4cn(-c5ccccc5)cc43)C=CN12,0.0018283956,positive
